,brand_name,brand_url,No_of_items
0,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma,35
1,AERIN,https://www.sephora.com/brand/aerin-perfume,22
2,Aether Beauty,https://www.sephora.com/brand/aether-beauty,6
3,Algenist,https://www.sephora.com/brand/algenist,52
4,Alpha-H,https://www.sephora.com/brand/alpha-h,13
5,alpyn beauty,https://www.sephora.com/brand/alpyn-beauty,5
6,ALTERNA Haircare,https://www.sephora.com/brand/alterna,42
7,amika,https://www.sephora.com/brand/amika,64
8,AMOREPACIFIC,https://www.sephora.com/brand/amorepacific,33
9,Anastasia Beverly Hills,https://www.sephora.com/brand/anastasia-beverly-hills,70
10,Anthony ,https://www.sephora.com/brand/anthony-logistics-for-men,14
11,Antonym,https://www.sephora.com/brand/antonym,3
12,Aquis,https://www.sephora.com/brand/aquis,5
13,Armani Beauty,https://www.sephora.com/brand/giorgio-armani-beauty,59
14,The Art of Shaving,https://www.sephora.com/brand/the-art-of-shaving,15
15,Artis,https://www.sephora.com/brand/artis,20
16,Artist Couture,https://www.sephora.com/brand/artist-couture,8
17,Atelier Cologne,https://www.sephora.com/brand/atelier-cologne,51
18,BALENCIAGA,https://www.sephora.com/brand/balenciaga,2
19,bareMinerals,https://www.sephora.com/brand/bareminerals,57
20,Beachwaver,https://www.sephora.com/brand/beachwaver-co,1
21,The Beauty Chef,https://www.sephora.com/brand/the-beauty-chef,9
22,BeautyBio,https://www.sephora.com/brand/beautybio,24
23,beautyblender,https://www.sephora.com/brand/beautyblender,33
24,BECCA,https://www.sephora.com/brand/becca-cosmetics,38
25,belif,https://www.sephora.com/brand/belif,29
26,Benefit Cosmetics,https://www.sephora.com/brand/benefit-cosmetics,93
27,BERDOUES,https://www.sephora.com/brand/berdoues,14
28,Bésame Cosmetics,https://www.sephora.com/brand/besame-cosmetics,2
29,Better Not Younger,https://www.sephora.com/brand/better-not-younger,14
30,Bio Ionic,https://www.sephora.com/brand/bio-ionic,12
31,Biossance,https://www.sephora.com/brand/biossance,21
32,Bite Beauty,https://www.sephora.com/brand/bite-beauty,12
33,bkr,https://www.sephora.com/brand/bkr,1
34,Black Up,https://www.sephora.com/brand/black-up,5
35,Blinc,https://www.sephora.com/brand/blinc,3
36,Bobbi Brown,https://www.sephora.com/brand/bobbi-brown,74
37,boscia,https://www.sephora.com/brand/boscia,20
38,Briogeo,https://www.sephora.com/brand/briogeo,49
39,Bumble and bumble,https://www.sephora.com/brand/bumble-bumble,104
40,BURBERRY,https://www.sephora.com/brand/burberry,27
41,Buxom,https://www.sephora.com/brand/buxom,6
42,BVLGARI,https://www.sephora.com/brand/bvlgari,25
43,By Rosie Jane,https://www.sephora.com/brand/by-rosie-jane,21
44,Calvin Klein,https://www.sephora.com/brand/calvin-klein,9
45,Capri Blue,https://www.sephora.com/brand/capri-blue,16
46,Carolina Herrera,https://www.sephora.com/brand/carolina-herrera,12
47,Caudalie,https://www.sephora.com/brand/caudalie,57
48,Cellu-cup,https://www.sephora.com/brand/cellu-cup,1
49,CHANEL,https://www.sephora.com/brand/chanel,52
50,Charlotte Tilbury,https://www.sephora.com/brand/charlotte-tilbury,75
51,Chloé,https://www.sephora.com/brand/chloe,21
52,Christian Louboutin,https://www.sephora.com/brand/christian-louboutin-beauty,12
53,Christophe Robin,https://www.sephora.com/brand/christophe-robin,38
54,Ciaté London,https://www.sephora.com/brand/ciate,22
55,Cinema Secrets,https://www.sephora.com/brand/cinema-secrets,11
56,Clarins,https://www.sephora.com/brand/clarins,55
57,Clarisonic Skincare,https://www.sephora.com/brand/clarisonic,23
58,CLEAN,https://www.sephora.com/brand/clean,50
59,CLINIQUE,https://www.sephora.com/brand/clinique,234
60,Coal and Canary,https://www.sephora.com/brand/coal-and-canary,6
61,Cocofloss,https://www.sephora.com/brand/cocofloss,1
62,Comme des Garcons ,https://www.sephora.com/brand/comme-des-garcons,0
63,Commodity,https://www.sephora.com/brand/commodity,2
64,Comptoir Sud Pacifique,https://www.sephora.com/brand/comptoir-sud-pacifique,8
65,Conture,https://www.sephora.com/brand/conture,1
66,COOLA,https://www.sephora.com/brand/coola-suncare,28
67,COVER FX,https://www.sephora.com/brand/cover-fx,13
68,Crushed Tonic,https://www.sephora.com/brand/crushed-tonic,2
69,dae NE,https://www.sephora.com/brand/dae,3
70,Deborah Lippmann,https://www.sephora.com/brand/deborah-lippmann,23
71,DEREK LAM 10 CROSBY,https://www.sephora.com/brand/derek-lam-10-crosby,5
72,DERMAdoctor,https://www.sephora.com/brand/dermadoctor,0
73,DERMAFLASH,https://www.sephora.com/brand/dermaflash,3
74,Dermalogica,https://www.sephora.com/brand/dermalogica,48
75,DevaCurl,https://www.sephora.com/brand/devacurl,46
76,Diamancel,https://www.sephora.com/brand/diamancel,0
77,Dior,https://www.sephora.com/brand/dior,145
78,DL.MD NE,https://www.sephora.com/brand/dlmd,1
79,DOLCE&GABBANA,https://www.sephora.com/brand/dolce-gabbana,37
80,DOMINIQUE COSMETICS,https://www.sephora.com/brand/dominique-cosmetics,9
81,Donna Karan,https://www.sephora.com/brand/donna-karan,8
82,dpHUE,https://www.sephora.com/brand/dphue,19
83,Dr Roebuck's,https://www.sephora.com/brand/dr-roebucks,21
84,Dr. Barbara Sturm,https://www.sephora.com/brand/dr-barbara-sturm,42
85,Dr. Brandt Skincare,https://www.sephora.com/brand/dr-brandt-skincare,28
86,Dr. Dennis Gross,https://www.sephora.com/brand/dr-dennis-gross-skincare,45
87,Dr. Jart+,https://www.sephora.com/brand/dr-jart,54
88,Drunk Elephant,https://www.sephora.com/brand/drunk-elephant,34
89,Drybar,https://www.sephora.com/brand/drybar,58
90,DTRT,https://www.sephora.com/brand/dtrt-skincare,0
91,DUO,https://www.sephora.com/brand/duo,2
92,dyson,https://www.sephora.com/brand/dyson,8
93,Earth's Nectar,https://www.sephora.com/brand/earths-nectar,4
94,Edible Beauty,https://www.sephora.com/brand/edible-beauty,12
95,Eight & Bob,https://www.sephora.com/brand/eight-bob,3
96,Elizabeth and James ,https://www.sephora.com/brand/elizabeth-james,7
97,ELLIS BROOKLYN,https://www.sephora.com/brand/ellis-brooklyn,29
98,Erborian,https://www.sephora.com/brand/erborian,14
99,Erno Laszlo,https://www.sephora.com/brand/erno-laszlo,14
100,Estée Lauder,https://www.sephora.com/brand/estee-lauder,66
101,Etat Libre d'Orange,https://www.sephora.com/brand/etat-libre-d-orange,1
102,Eve Lom,https://www.sephora.com/brand/eve-lom,27
103,Evian,https://www.sephora.com/brand/evian,3
104,Fable & Mane NE,https://www.sephora.com/brand/fable-mane,5
105,Farmacy,https://www.sephora.com/brand/farmacy,24
106,FARSÁLI,https://www.sephora.com/brand/farsali,14
107,FENTY BEAUTY by Rihanna,https://www.sephora.com/brand/fenty-beauty-rihanna,85
108,First Aid Beauty,https://www.sephora.com/brand/first-aid-beauty,42
109,Flora + Bast,https://www.sephora.com/brand/flora-bast,1
110,Floral Street,https://www.sephora.com/brand/floral-street,19
111,FOREO,https://www.sephora.com/brand/foreo,26
112,FORM,https://www.sephora.com/brand/form,11
113,Four Sigmatic,https://www.sephora.com/brand/four-sigmatic,2
114,fresh,https://www.sephora.com/brand/fresh,139
115,ghd,https://www.sephora.com/brand/ghd,17
116,Givenchy,https://www.sephora.com/brand/givenchy,76
117,GLAMGLOW,https://www.sephora.com/brand/glamglow,33
118,GLO Science,https://www.sephora.com/brand/glo-science,5
119,Glow Recipe,https://www.sephora.com/brand/glow-recipe,15
120,Golde,https://www.sephora.com/brand/golde,4
121,Good Dye Young,https://www.sephora.com/brand/good-dye-young,9
122,Google,https://www.sephora.com/brand/google,1
123,goop,https://www.sephora.com/brand/goop,15
124,Grande Cosmetics,https://www.sephora.com/brand/grande-cosmetics,13
125,Gucci,https://www.sephora.com/brand/gucci,54
126,Guerlain,https://www.sephora.com/brand/guerlain,58
127,Herbivore,https://www.sephora.com/brand/herbivore-botanicals,30
128,HERMÈS,https://www.sephora.com/brand/hermes,35
129,High Beauty,https://www.sephora.com/brand/high-beauty,1
130,Hourglass,https://www.sephora.com/brand/hourglass,70
131,HUDA BEAUTY,https://www.sephora.com/brand/huda-beauty,54
132,HUM Nutrition,https://www.sephora.com/brand/hum-nutrition,27
133,Hush,https://www.sephora.com/brand/hush,0
134,IGK,https://www.sephora.com/brand/igk,33
135,ILIA,https://www.sephora.com/brand/ilia,24
136,INC.redible,https://www.sephora.com/brand/incredible,25
137,Indie Lee,https://www.sephora.com/brand/indie-lee,10
138,The INKEY List,https://www.sephora.com/brand/the-inkey-list,38
139,innisfree,https://www.sephora.com/brand/innisfree,34
140,invisibobble,https://www.sephora.com/brand/invisibobble,2
141,Isle of Paradise,https://www.sephora.com/brand/isle-paradise,10
142,Issey Miyake,https://www.sephora.com/brand/issey-miyake,0
143,IT Cosmetics,https://www.sephora.com/brand/it-cosmetics,60
144,It's Skin,https://www.sephora.com/brand/its-skin,0
145,Jack Black,https://www.sephora.com/brand/jack-black,51
146,Jillian Dempsey NE,https://www.sephora.com/brand/jillian-dempsey,1
147,JIMMY CHOO,https://www.sephora.com/brand/jimmy-choo,3
148,Jo Malone London,https://www.sephora.com/brand/jo-malone-london,76
