,item_name,item_url,brand_name,brand_url
0,Acqua Di Parma Blu Mediterraneo MINIATURE Set,https://www.sephora.com/product/blu-mediterraneo-minature-set-P443401?icid2=products grid:p443401,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
1,Acqua Di Parma Colonia,https://www.sephora.com/product/colonia-P163604?icid2=products grid:p163604,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
2,Acqua Di Parma Arancia di Capri,https://www.sephora.com/product/blu-mediterraneo-arancia-di-capri-P375388?icid2=products grid:p375388,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
3,Acqua Di Parma Mirto di Panarea,https://www.sephora.com/product/blu-mediterraneo-mirto-di-panarea-P307804?icid2=products grid:p307804,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
4,Acqua Di Parma Colonia Miniature Set,https://www.sephora.com/product/colonia-miniature-set-P443400?icid2=products grid:p443400,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
5,Acqua Di Parma Fico di Amalfi,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-P307801?icid2=products grid:p307801,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
6,Acqua Di Parma Rosa Nobile,https://www.sephora.com/product/rosa-nobile-P388670?icid2=products grid:p388670,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
7,Acqua Di Parma Colonia Essenza,https://www.sephora.com/product/colonia-essenza-P269110?icid2=products grid:p269110,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
8,Acqua Di Parma Peonia Nobile Hair Mist,https://www.sephora.com/product/peonia-nobile-hair-mist-P444119?icid2=products grid:p444119,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
9,Acqua Di Parma Rosa Nobile Hair Mist,https://www.sephora.com/product/rosa-nobile-hair-mist-P444120?icid2=products grid:p444120,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
10,Acqua Di Parma Cipresso di Toscana,https://www.sephora.com/product/blu-mediterraneo-cipresso-di-toscana-P447763?icid2=products grid:p447763,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
11,Acqua Di Parma Bergamotto di Calabria,https://www.sephora.com/product/blu-mediterraneo-bergamotto-di-calabria-P307802?icid2=products grid:p307802,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
12,Acqua Di Parma Peonia Nobile,https://www.sephora.com/product/peonia-nobile-P413669?icid2=products grid:p413669,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
13,Acqua Di Parma Mandorlo di Sicilia,https://www.sephora.com/product/blu-mediterraneo-mandorlo-di-sicilia-P307803?icid2=products grid:p307803,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
14,Acqua Di Parma Camelia Eau de Parfum,https://www.sephora.com/product/acqua-di-parma-camelia-P456170?icid2=products grid:p456170,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
15,Acqua Di Parma Blu Mediterraneo Discovery Collection Rollerball Set,https://www.sephora.com/product/blu-mediterraneo-discovery-collection-gift-set-P450818?icid2=products grid:p450818,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
16,Acqua Di Parma Chinotto di Liguria,https://www.sephora.com/product/chinotto-di-ligura-P431438?icid2=products grid:p431438,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
17,Acqua Di Parma Fico di Amalfi Spray Body Lotion,https://www.sephora.com/product/fico-di-amalfi-spray-body-lotion-P443392?icid2=products grid:p443392,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
18,Acqua Di Parma Colonia Alcohol-Free Deodorant,https://www.sephora.com/product/colonia-deodorant-P380571?icid2=products grid:p380571,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
19,Acqua Di Parma Colonia Intensa,https://www.sephora.com/product/colonia-intensa-P200313?icid2=products grid:p200313,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
20,Acqua Di Parma Blu Mediterraneo Fico di Amalfi Gift Set,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-gift-set-P450815?icid2=products grid:p450815,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
21,Acqua Di Parma Blu Mediterraneo Cipresso di Toscana Travel Spray,https://www.sephora.com/product/blu-mediterraneo-cipresso-di-toscana-P447762?icid2=products grid:p447762,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
22,Acqua Di Parma Colonia Pura,https://www.sephora.com/product/colonia-pura-P422289?icid2=products grid:p422289,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
23,Acqua Di Parma Arancia di Capri Spray Body Lotion,https://www.sephora.com/product/arancia-di-capri-spray-body-lotion-P443393?icid2=products grid:p443393,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
24,Acqua Di Parma Magnolia Nobile,https://www.sephora.com/product/magnolia-nobile-P252213?icid2=products grid:p252213,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
25,Acqua Di Parma Colonia Ebano Eau de Cologne Concentré,https://www.sephora.com/product/colonia-ebano-eau-de-cologne-concentr-P420531?icid2=products grid:p420531,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
26,Acqua Di Parma Colonia Club,https://www.sephora.com/product/colonia-club-P403962?icid2=products grid:p403962,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
27,Acqua Di Parma Osmanthus Eau de Parfum,https://www.sephora.com/product/osmanthus-eau-de-parfum-P450175?icid2=products grid:p450175,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
28,Acqua Di Parma Peonia Nobile Gift Set,https://www.sephora.com/product/peonia-nobile-gift-set-P450816?icid2=products grid:p450816,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
29,Acqua Di Parma Colonia Leather,https://www.sephora.com/product/colonia-leather-P387145?icid2=products grid:p387145,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
30,Acqua Di Parma Colonia Mirra Eau de Cologne Concentré,https://www.sephora.com/product/colonia-mirra-eau-de-cologne-concentr-P420530?icid2=products grid:p420530,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
31,Acqua Di Parma Blu Mediterraneo Arancia di Capri Gift Set,https://www.sephora.com/product/blu-mediterraneo-arancia-di-capri-gift-set-P450817?icid2=products grid:p450817,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
32,Acqua Di Parma Rosa Nobile Gift Set,https://www.sephora.com/product/rosa-nobile-gift-set-P450814?icid2=products grid:p450814,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
33,Acqua Di Parma Sakura Eau de Parfum,https://www.sephora.com/product/acqua-di-parma-sakura-P456549?icid2=products grid:p456549,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
34,Acqua Di Parma Yuzu Eau de Parfum,https://www.sephora.com/product/acqua-di-parma-yuzu-P456550?icid2=products grid:p456550,Acqua Di Parma,https://www.sephora.com/brand/acqua-di-parma?pageSize=300
35,AERIN Mediterranean Honeysuckle,https://www.sephora.com/product/mediterranean-honeysuckle-P405269?icid2=products grid:p405269,AERIN,https://www.sephora.com/brand/aerin-perfume?pageSize=300
36,AERIN Amber Musk,https://www.sephora.com/product/amber-musk-P388770?icid2=products grid:p388770,AERIN,https://www.sephora.com/brand/aerin-perfume?pageSize=300
37,AERIN Rose De Grasse,https://www.sephora.com/product/rose-de-grasse-P433906?icid2=products grid:p433906,AERIN,https://www.sephora.com/brand/aerin-perfume?pageSize=300
38,AERIN Lilac Path,https://www.sephora.com/product/lilac-path-P388766?icid2=products grid:p388766,AERIN,https://www.sephora.com/brand/aerin-perfume?pageSize=300
39,AERIN Wild Geranium,https://www.sephora.com/product/aerin-perfume-wild-geranium-P454825?skuId=2317907&icid2=products grid:p454825,AERIN,https://www.sephora.com/brand/aerin-perfume?pageSize=300
